,movie,production_budget,domestic_gross,worldwide_gross,studio,original_language,popularity,release_date,vote_average,vote_count
225,Cats & Dogs: The Revenge of Kitty Galore,85.0,43.585753,113.026383,WB,en,10.544,2010-07-30,4.9,273
226,The Greatest Showman,84.0,174.340174,386.66555,Fox,en,22.009,2017-12-20,8.0,5197
227,The Expendables,82.0,103.068524,268.268174,LGF,en,21.517,2010-08-03,6.1,4647
228,The Hunger Games,80.0,408.010692,677.923379,LGF,en,14.212,2012-03-23,7.1,14587
229,The Hangover Part II,80.0,254.464305,586.464305,WB,en,32.266,2011-05-25,6.4,6231
230,Hotel Transylvania 2,80.0,169.70011,469.500298,Sony,en,16.553,2015-09-25,6.7,3184
231,Grown Ups 2,80.0,133.668525,247.023808,Sony,en,11.289000000000001,2013-07-12,5.9,2090
232,Alvin and the Chipmunks: Chipwrecked,80.0,133.107389,349.088523,Fox,en,12.672,2011-12-16,5.5,1055
233,Shutter Island,80.0,128.012934,299.461782,Par.,en,18.06,2010-02-18,8.1,12625
234,Yogi Bear,80.0,100.246011,204.77469,WB,en,9.096,2010-12-17,5.3,387
235,The Book of Eli,80.0,94.835059,158.750817,WB,en,18.985,2010-01-11,6.7,3495
236,Smallfoot,80.0,83.240103,213.691277,WB,en,26.230999999999998,2018-09-28,6.6,600
237,Zookeeper,80.0,80.360866,170.805525,Sony,en,10.764000000000001,2011-07-08,5.3,886
238,Walking with Dinosaurs,80.0,36.076121,123.368842,Fox,en,10.56,2013-12-20,5.4,210
239,The Last Witch Hunter,80.0,27.36766,130.818912,LG/S,en,16.685,2015-10-23,5.8,2193
240,Pompeii,80.0,23.169033,108.469033,TriS,en,25.215,2014-02-21,5.4,2078
241,Oceans,80.0,19.422319,86.78753,BV,en,7.532,2010-04-21,7.2,167
242,Journey 2: The Mysterious Island,79.0,103.86029,318.146162,WB (NL),en,14.454,2012-02-10,5.9,2152
243,Jack and Jill,79.0,74.158157,150.519217,Sony,en,11.277000000000001,2011-11-11,4.1,1124
244,Cloudy with a Chance of Meatballs 2,78.0,119.793567,274.392649,Sony,en,18.335,2013-09-27,6.4,1679
245,The Little Prince,77.5,1.311213,102.028919,EOne,en,8.512,2016-08-05,7.6,1493
246,The Equalizer 2,77.0,102.084362,190.453132,Sony,en,22.961,2018-07-20,6.4,2089
247,Despicable Me 2,76.0,368.065385,975.216835,Uni.,en,19.014,2013-07-03,6.9,7319
248,The Secret Life of Pets,75.0,368.38433,886.750534,Uni.,en,9.908999999999999,2016-07-08,6.1,5374
249,Sing,75.0,270.329045,634.454789,Uni.,en,17.572,2016-12-21,6.9,4303
250,Despicable Me 3,75.0,264.6243,1034.72775,Uni.,en,16.407,2017-06-30,6.3,4106
251,Grown Ups,75.0,162.001186,272.22343,Sony,en,14.290999999999999,2010-06-24,6.1,3171
252,Now You See Me,75.0,117.723989,342.7692,LG/S,en,16.646,2013-05-31,7.4,9871
253,Immortals,75.0,83.504017,211.562435,Rela.,en,14.774000000000001,2011-11-11,5.8,1431
254,Killers,75.0,47.059963,95.572749,LGF,en,10.221,2010-06-04,5.8,1314
255,Sucker Punch,75.0,36.392502,89.758389,WB,en,14.415999999999999,2011-03-25,6.0,2716
256,Inferno,75.0,34.343574,219.519367,Sony,en,17.41,2016-10-28,5.9,3877
257,Minions,74.0,336.04577,1160.336173,Uni.,en,9.338,2015-07-10,6.4,7343
258,The SpongeBob Movie: Sponge Out of Water,74.0,162.994032,311.013181,Par.,en,13.815,2015-02-06,5.7,1165
259,The Angry Birds Movie,73.0,107.509366,352.327887,Sony,en,17.998,2016-05-20,6.0,1851
